series id,year,period,value,footnotes
CUUR0000SA0,2023,M12,306.746,
CUUR0000SA0,2023,M11,307.051,
CUUR0000SA0,2023,M10,307.671,
CUUR0000SA0,2023,M09,307.789,
CUUR0000SA0,2023,M08,307.026,
CUUR0000SA0,2023,M07,305.691,
CUUR0000SA0,2023,M06,305.109,
CUUR0000SA0,2023,M05,304.127,
CUUR0000SA0,2023,M04,303.363,
CUUR0000SA0,2023,M03,301.836,
CUUR0000SA0,2023,M02,300.840,
CUUR0000SA0,2023,M01,299.170,
CUUR0000SA0,2022,M12,296.797,
CUUR0000SA0,2022,M11,297.711,
CUUR0000SA0,2022,M10,298.012,
CUUR0000SA0,2022,M09,296.808,
CUUR0000SA0,2022,M08,296.171,
CUUR0000SA0,2022,M07,296.276,
CUUR0000SA0,2022,M06,296.311,
CUUR0000SA0,2022,M05,292.296,
CUUR0000SA0,2022,M04,289.109,
CUUR0000SA0,2022,M03,287.504,
CUUR0000SA0,2022,M02,283.716,
CUUR0000SA0,2022,M01,281.148,
CUUR0000SA0,2021,M12,278.802,
CUUR0000SA0,2021,M11,277.948,
CUUR0000SA0,2021,M10,276.589,
CUUR0000SA0,2021,M09,274.310,
CUUR0000SA0,2021,M08,273.567,
CUUR0000SA0,2021,M07,273.003,
CUUR0000SA0,2021,M06,271.696,
CUUR0000SA0,2021,M05,269.195,
CUUR0000SA0,2021,M04,267.054,
CUUR0000SA0,2021,M03,264.877,
CUUR0000SA0,2021,M02,263.014,
CUUR0000SA0,2021,M01,261.582,
CUUR0000SA0,2020,M12,260.474,
CUUR0000SA0,2020,M11,260.229,
CUUR0000SA0,2020,M10,260.388,
CUUR0000SA0,2020,M09,260.280,
CUUR0000SA0,2020,M08,259.918,
CUUR0000SA0,2020,M07,259.101,
CUUR0000SA0,2020,M06,257.797,
CUUR0000SA0,2020,M05,256.394,
CUUR0000SA0,2020,M04,256.389,
CUUR0000SA0,2020,M03,258.115,
CUUR0000SA0,2020,M02,258.678,
CUUR0000SA0,2020,M01,257.971,
CUUR0000SA0,2019,M12,256.974,
CUUR0000SA0,2019,M11,257.208,
CUUR0000SA0,2019,M10,257.346,
CUUR0000SA0,2019,M09,256.759,
CUUR0000SA0,2019,M08,256.558,
CUUR0000SA0,2019,M07,256.571,
CUUR0000SA0,2019,M06,256.143,
CUUR0000SA0,2019,M05,256.092,
CUUR0000SA0,2019,M04,255.548,
CUUR0000SA0,2019,M03,254.202,
CUUR0000SA0,2019,M02,252.776,
CUUR0000SA0,2019,M01,251.712,
CUUR0000SA0,2018,M12,251.233,
CUUR0000SA0,2018,M11,252.038,
CUUR0000SA0,2018,M10,252.885,
CUUR0000SA0,2018,M09,252.439,
CUUR0000SA0,2018,M08,252.146,
CUUR0000SA0,2018,M07,252.006,
CUUR0000SA0,2018,M06,251.989,
CUUR0000SA0,2018,M05,251.588,
CUUR0000SA0,2018,M04,250.546,
CUUR0000SA0,2018,M03,249.554,
CUUR0000SA0,2018,M02,248.991,
CUUR0000SA0,2018,M01,247.867,
CUUR0000SA0,2017,M12,246.524,
CUUR0000SA0,2017,M11,246.669,
CUUR0000SA0,2017,M10,246.663,
CUUR0000SA0,2017,M09,246.819,
CUUR0000SA0,2017,M08,245.519,
CUUR0000SA0,2017,M07,244.786,
CUUR0000SA0,2017,M06,244.955,
CUUR0000SA0,2017,M05,244.733,
CUUR0000SA0,2017,M04,244.524,
CUUR0000SA0,2017,M03,243.801,
CUUR0000SA0,2017,M02,243.603,
CUUR0000SA0,2017,M01,242.839,
CUUR0000SA0,2016,M12,241.432,
CUUR0000SA0,2016,M11,241.353,
CUUR0000SA0,2016,M10,241.729,
CUUR0000SA0,2016,M09,241.428,
CUUR0000SA0,2016,M08,240.849,
CUUR0000SA0,2016,M07,240.628,
CUUR0000SA0,2016,M06,241.018,
CUUR0000SA0,2016,M05,240.229,
CUUR0000SA0,2016,M04,239.261,
CUUR0000SA0,2016,M03,238.132,
CUUR0000SA0,2016,M02,237.111,
CUUR0000SA0,2016,M01,236.916,
CUUR0000SA0,2015,M12,236.525,
CUUR0000SA0,2015,M11,237.336,
CUUR0000SA0,2015,M10,237.838,
CUUR0000SA0,2015,M09,237.945,
CUUR0000SA0,2015,M08,238.316,
CUUR0000SA0,2015,M07,238.654,
CUUR0000SA0,2015,M06,238.638,
CUUR0000SA0,2015,M05,237.805,
CUUR0000SA0,2015,M04,236.599,
CUUR0000SA0,2015,M03,236.119,
CUUR0000SA0,2015,M02,234.722,
CUUR0000SA0,2015,M01,233.707,
CUUR0000SA0,2014,M12,234.812,
CUUR0000SA0,2014,M11,236.151,
CUUR0000SA0,2014,M10,237.433,
CUUR0000SA0,2014,M09,238.031,
CUUR0000SA0,2014,M08,237.852,
CUUR0000SA0,2014,M07,238.250,
CUUR0000SA0,2014,M06,238.343,
CUUR0000SA0,2014,M05,237.900,
CUUR0000SA0,2014,M04,237.072,
CUUR0000SA0,2014,M03,236.293,
CUUR0000SA0,2014,M02,234.781,
CUUR0000SA0,2014,M01,233.916,
CUUR0000SA0,2013,M12,233.049,
CUUR0000SA0,2013,M11,233.069,
CUUR0000SA0,2013,M10,233.546,
CUUR0000SA0,2013,M09,234.149,
CUUR0000SA0,2013,M08,233.877,
CUUR0000SA0,2013,M07,233.596,
CUUR0000SA0,2013,M06,233.504,
CUUR0000SA0,2013,M05,232.945,
CUUR0000SA0,2013,M04,232.531,
CUUR0000SA0,2013,M03,232.773,
CUUR0000SA0,2013,M02,232.166,
CUUR0000SA0,2013,M01,230.280,
CUUR0000SA0,2012,M12,229.601,
CUUR0000SA0,2012,M11,230.221,
CUUR0000SA0,2012,M10,231.317,
CUUR0000SA0,2012,M09,231.407,
CUUR0000SA0,2012,M08,230.379,
CUUR0000SA0,2012,M07,229.104,
CUUR0000SA0,2012,M06,229.478,
CUUR0000SA0,2012,M05,229.815,
CUUR0000SA0,2012,M04,230.085,
CUUR0000SA0,2012,M03,229.392,
CUUR0000SA0,2012,M02,227.663,
CUUR0000SA0,2012,M01,226.665,
CUUR0000SA0,2011,M12,225.672,
CUUR0000SA0,2011,M11,226.230,
CUUR0000SA0,2011,M10,226.421,
CUUR0000SA0,2011,M09,226.889,
CUUR0000SA0,2011,M08,226.545,
CUUR0000SA0,2011,M07,225.922,
CUUR0000SA0,2011,M06,225.722,
CUUR0000SA0,2011,M05,225.964,
CUUR0000SA0,2011,M04,224.906,
CUUR0000SA0,2011,M03,223.467,
CUUR0000SA0,2011,M02,221.309,
CUUR0000SA0,2011,M01,220.223,
CUUR0000SA0,2010,M12,219.179,
CUUR0000SA0,2010,M11,218.803,
